id,first_name,last_name,num_reviews,avg_review,img_problems,type,num_previous_clients,days_since_login,age,years_experience
1,Velma,Snoke,3,4.57,3,expert,5,11,36,2
2,John,Dole,2,0.8,6,advanced,0,17,35,3
3,Sandra,Sanchez,1,4.01,0,expert,2,2,22,1
4,Faith,Smykowski,2,4.46,3,basic,2,0,50,10
5,Deborah,Essary,3,3.45,2,basic,0,0,34,3
6,Jennifer,Weaver,1,4.22,5,advanced,0,72,30,7
7,Homer,Norman,0,2.01,6,advanced,0,1,47,1
8,Stuart,Wiseman,3,3.13,2,expert,0,8,54,7
9,Mohammed,Kessler,0,2.79,3,advanced,4,6,23,11
10,Autumn,Grant,2,3.14,5,expert,2,4,29,3
11,Brenda,Rhodes,2,3.53,3,advanced,0,120,38,2
12,Mary,Williams,1,0.81,5,basic,0,26,46,1
13,Bryan,Martinez,3,3.1,2,basic,1,8,33,10
14,Steven,Niles,2,1.67,0,advanced,0,46,35,12
15,Andrew,Jones,0,2.94,5,expert,3,14,51,2
16,Robert,Bleau,3,2.13,4,expert,1,120,43,6
17,Larry,Moran,3,4.8,0,expert,2,26,32,3
18,Jessica,Garrett,1,3.15,4,advanced,0,0,36,12
19,Kristina,Harp,1,3.36,2,expert,0,35,50,13
20,Jeff,Towle,0,4.02,4,advanced,5,72,28,2
21,Rachel,Agosto,1,3.91,4,basic,0,7,52,13
22,Victoria,Sepulveda,3,1.98,3,expert,1,7,19,9
23,Catherine,Kramer,2,1.18,0,basic,3,1,41,7
24,Michael,Mordino,2,2.99,6,advanced,2,1,46,12
25,Jennifer,Jones,2,4.36,7,advanced,0,2,46,3
26,Emile,Carson,1,3.75,1,advanced,0,0,20,3
27,Richard,Belisle,1,0.2,6,basic,0,14,43,10
28,Richard,Stivers,1,2.65,5,expert,0,14,47,4
29,Margaret,Carpenter,1,2.93,4,expert,2,7,34,2
30,Carmen,Fermin,0,2.53,2,advanced,0,26,44,9
31,Joe,Spencer,3,3.52,0,basic,0,46,30,8
32,Adam,Green,1,4.81,3,basic,2,26,23,6
33,John,Marana,1,0.28,2,advanced,0,4,51,12
34,Joann,Elliott,2,4.08,1,advanced,0,20,53,7
35,Lindsey,Roe,0,4.17,1,expert,0,3,22,5
36,Edward,Peterson,0,0.29,2,expert,0,3,33,8
37,Marjorie,Morse,2,2.18,2,expert,0,5,42,11
38,Laura,Martin,3,4.55,5,expert,0,35,22,8
39,Louis,Hayes,1,2.07,2,expert,1,8,28,3
40,Claire,Barajas,3,1.84,3,expert,2,72,29,4
41,James,Morales,3,3.85,1,advanced,2,5,53,9
42,Mary,Watts,2,4.99,1,expert,4,1,54,7
43,Roger,Greenhoward,3,0.81,6,advanced,0,20,51,12
44,George,Olsen,3,4.21,3,advanced,4,14,41,4
45,Edward,Green,1,3.66,5,advanced,1,0,44,12
46,Sharon,Clark,0,1.65,1,advanced,0,6,25,1
47,Fred,Hernandez,3,0.76,0,expert,0,35,53,9
48,Alvin,Hildebrandt,0,1.22,7,advanced,0,11,52,6
49,Michael,Allen,0,2.9,4,basic,1,35,36,4
50,Irena,Hilton,2,3.54,7,expert,2,20,24,14
51,Juanita,Goodwin,0,1.82,1,advanced,0,7,51,2
52,William,Torres,1,1.39,4,basic,0,35,25,14
53,Bobby,Fulcher,2,1.87,7,expert,0,0,45,5
54,Zachary,Russell,1,3.09,7,basic,0,26,24,14
55,Alice,Montgomery,3,3.65,4,basic,1,7,32,9
56,Lamar,Smith,1,4.71,0,basic,0,0,28,6
57,Anne,Vance,1,3.93,7,expert,0,6,47,13
58,Diane,Zanella,2,3.72,6,basic,2,20,52,13
59,John,Leung,3,1.06,0,basic,4,0,52,7
60,Paul,Gober,2,2.42,1,basic,2,0,20,12
61,Bernice,Utecht,3,3.75,6,advanced,1,120,23,3
62,Michael,Riley,3,1.26,3,basic,1,14,25,13
63,James,Long,3,0.47,3,expert,2,35,42,10
64,Brittany,Penick,3,1.63,3,basic,0,3,25,6
65,Vincent,Bullock,2,4.97,6,advanced,0,1,23,2
66,Brandon,Oldham,1,1.6,4,basic,0,26,47,10
67,Ruth,Perry,0,3.13,1,advanced,2,0,32,14
68,Martin,Shattuck,0,4.64,5,basic,4,2,39,13
69,Daniel,Gunderman,3,3.32,0,basic,5,2,38,5
70,Kristina,Renteria,1,2.14,3,basic,3,1,45,9
71,Susan,Gilbert,2,0.54,4,advanced,5,2,50,3
72,Javier,Haro,1,2.17,7,basic,1,2,36,3
73,Travis,Smith,2,1.32,5,expert,3,26,47,7
74,Joseph,Berry,2,2.76,4,basic,0,26,25,9
75,Dana,Hawkins,2,4.2,3,advanced,4,0,26,14
76,Cheryl,Johnson,0,0.92,4,advanced,0,2,47,13
77,Ian,Mccurren,3,0.85,3,advanced,4,72,19,1
78,Mary,Searle,1,2.3,6,advanced,0,1,42,1
79,Vida,Slack,2,4.28,3,basic,0,17,27,6
80,Brenda,Anderson,2,1.68,4,advanced,1,120,34,2
81,Ann,Davis,0,3.2,7,advanced,1,8,45,4
